tconst,directors,writers
tt0160316,\N,\N
tt0389937,nm0676671,nm0573270;nm0676671
tt10218112,nm2031440,nm2031440
tt10323492,nm10683703,\N
tt10663998,nm0715672,\N
tt10925174,nm7409140,nm10926646;nm7409140
tt11654554,nm0392082,nm0392082
tt11870758,\N,\N
tt11889990,nm11362146,nm11362146
tt1228989,nm3003296,\N
tt12413918,nm11620437,nm11620437
tt12670610,nm4978663,nm4978663
tt12745908,nm3564743,nm3564743;nm1625350;nm11752277
tt12803632,nm9366735,nm11776890;nm9366735;nm11776891
tt12966276,nm2816779,nm2525174;nm2816779;nm7401963;nm5131997
tt13045552,nm9349874,nm8266291;nm11876564
tt13388966,nm12032077,nm12032077
tt13458442,nm1186425,nm8451466
tt13479840,nm6131031,nm12073441
tt13563118,nm12109637,nm12109637
tt14562768,nm12534861,nm12534862;nm12534861;nm12534889;nm12534874
tt14605420,nm6390107,nm6390107
tt14626184,nm1885584,nm1885584;nm6898644
tt14648000,nm7267329,nm7267329
tt14752358,nm7313076,nm7313076
tt15108182,nm9148892,nm9148892;nm12786341
tt15287644,nm5954636,nm5954636
tt15325916,nm6230910,nm12320545
tt15481906,nm7189291,\N
tt15569164,nm13007804,\N
tt15881774,nm5954636,nm5954636
tt16112972,nm5588512,\N
tt16762816,nm5954636,nm5954636
tt17014810,nm8744453,nm8744453
tt1737585,nm0006863;nm0551718,nm0006863;nm0551718
tt18225750,nm13034656,nm13034656
tt18339166,nm12538671,nm12538671
tt18372080,nm1703983,nm1703983
tt1918943,nm0210283;nm3322225,\N
tt19370518,nm13544539,nm14215744;nm13544543
tt19845076,nm13607258,nm13607258
tt2007976,nm4636486,nm4636486
tt20158938,nm1597226,nm1597226
tt20752234,nm0521995,\N
tt21101694,nm10575776,nm10575776;nm13782016
tt21110404,nm6552027,nm6552027
tt21236128,nm10715010,\N
tt21337046,nm5143313;nm5119332,nm5143313;nm5119332
tt21345048,nm8246771,nm8246771;nm7362633
tt21479810,nm4495252,nm4495252
tt21995284,nm13942241,nm13942241
tt22016398,nm11064464,\N
tt22191702,nm0068095,nm0068095
tt22489120,nm0183949,\N
tt22490110,nm4473145;nm4406391,nm14109042;nm4406391
tt22530162,nm0446018,nm0446018;nm6063600;nm5105441
tt22768254,nm13594007,nm13594007
tt22773492,nm14132327,nm14138085
tt23049890,nm0464053,\N
tt23632152,nm5358816,\N
tt23774026,nm14261713;nm14261712,\N
tt23828798,nm6906260,nm6906260;nm13525698;nm12640066
tt24668540,nm14358104,nm14358104
tt25385756,nm14413768,\N
tt2555246,nm1883831;nm2067382,\N
tt2597650,nm1085812,nm2588803;nm1085812
tt26235412,nm2167702,nm2167702
tt26453860,nm0789059,\N
tt26627413,nm14291057,nm14503248
tt26659808,nm0521995,\N
tt26678993,nm14524889,nm14524889
tt26689866,nm4255592,nm12614155;nm14552345;nm0571711
tt26696489,nm0521995,\N
tt26697490,nm0521995,\N
tt26717296,nm13405901,nm13405901
tt26745712,nm12531837,nm12531837
tt26754650,nm14575300,\N
tt26768535,nm11965107,\N
tt26919016,nm6799894,\N
tt26922029,nm1626405,\N
tt27002836,nm10271872,nm14618674;nm14642133;nm14618676
tt27078639,nm5046124,nm0779440;nm10510815
tt3338516,nm2290761,nm2290761
tt3488408,nm0816478,nm0816478
tt3526310,nm1784459,nm1784459
tt3835096,nm6601046,nm6601046;nm6601049;nm8261578
tt3995596,nm0445391,nm1729337
tt4085610,nm0041393,nm6816598;nm2947395
tt4338862,nm5019240,nm5019240;nm4110523
tt4428002,nm6652088,nm6652088
tt4551842,\N,\N
tt4670548,nm2279883,nm2539631
tt5012858,nm7575464;nm4968908,nm7575464
tt5390098,nm4637768;nm5472684,\N
tt6468098,nm1802317,nm1802317
tt6992710,nm1788321,nm1788321
tt7065722,nm7780620,\N
tt8215820,nm8332521,\N
tt8962754,nm1790383,nm1790383
tt9080346,nm5138377,nm3530768
