nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,wiki_name,wiki_country
nm0000123,George Clooney,1961,\N,actor;producer;director,tt0433383;tt0465538;tt1124035;tt1193138,George Clooney,United States of America
nm0000603,Vanessa Redgrave,1937,\N,actress;soundtrack;producer,tt0892318;tt0104454;tt0783233;tt1372686,Vanessa Redgrave,United Kingdom
nm0001221,Louise Fletcher,1934,2022,actress,tt0106145;tt0093036;tt0073486;tt0139134,Louise Fletcher,United States of America
nm0003202,David G. Russell,1968,\N,music_department;composer;actor,tt9419884;tt0947798;tt0259324;tt0413300,,
nm0005000,Tony Hawk,1968,\N,actor;producer;stunts,tt0295701;tt1047540;tt0097438;tt0355702,Tony Hawk,United States of America
nm0006863,Roger Kupelian,\N,\N,visual_effects;director;writer,tt0167261;tt1060277;tt0296572;tt1483013,,
nm0041393,David Aubrey,\N,\N,editor;cinematographer;camera_department,tt0103767;tt6730328;tt2862288;tt1253580,,
nm0048398,Don Baker,\N,\N,actor,tt2256828;tt0161169;tt0107207;tt0122738,,
nm0052321,Arun Bannerjee,\N,\N,actor;writer,tt4579002;tt7205838;tt3080148;tt0098255,,
nm0065942,Irene Bedard,1967,\N,actress;producer;executive,tt5848272;tt0114148;tt0110297;tt0409572,,
nm0066976,Adam Behr,\N,\N,special_effects;actor;make_up_department,tt0216216;tt0457400;tt0758730;tt0343818,,
nm0068095,Charlene Bell,\N,\N,director;actress;writer,tt22191702;tt0112613,,
nm0118201,Andrew Buckland,1954,\N,actor;writer,tt13459400;tt11654554;tt0097207;tt0093296,,
nm0129635,Helen Caldicott,1938,\N,,tt0081521;tt0796612;tt0477067;tt1992193,,
nm0129842,David Calek,1971,\N,cinematographer;director;camera_department,tt4136998;tt1686904;tt0299776;tt6446896,,
nm0136563,Hélène Cardona,\N,\N,actress;miscellaneous;producer,tt2980648;tt0241303;tt7826376;tt7134908,Hélène Cardona,Spain
nm0159008,Noam Chomsky,1928,\N,writer;miscellaneous,tt0338357;tt15331908;tt0104810;tt7322224,,
nm0183949,Rand Courtney,\N,\N,actor;director;cinematographer,tt0175526;tt2110366;tt2136385;tt22489120,,
nm0210283,François De Menil,\N,\N,producer;director;actor,tt0121520;tt0216643;tt0074351;tt0081562,,
nm0245906,Amentha Dymally,1934,\N,actress;writer;miscellaneous,tt0255819;tt0167431;tt0418223;tt0077355,,
nm0252032,Dwight D. Eisenhower,1890,1969,writer;miscellaneous,tt0165006;tt0247568;tt22794422;tt0038192,,
nm0259722,Max Ernst,1891,1976,actor;writer;art_department,tt0039735;tt0060680;tt0021577;tt0039340,,
nm0262543,Art Evans,1942,\N,actor,tt0105636;tt0091877;tt0165832;tt0099423,,
nm0263582,Erik Everhard,1976,\N,actor;director;producer,tt0843364;tt1353973;tt2590086;tt1840310,,
nm0305812,Gonzalo García Pelayo,1947,\N,director;producer;writer,tt0156974;tt0156178;tt13395340;tt23184396,Gonzalo García-Pelayo,Spain
nm0328762,Jane Goodall,1934,\N,miscellaneous;actress;writer,tt0318218;tt7207238;tt13113284;tt6791756,,
nm0347911,Greg Gumbel,1946,\N,actor,tt0115082;tt0098790;tt0115144;tt0247144,,
nm0358026,Lynn Hamilton,1930,\N,actress,tt0118435;tt0088526;tt0068128;tt0108473,,
nm0386749,Joe Hisaishi,1950,\N,composer;music_department;soundtrack,tt0245429;tt2013293;tt0876563;tt0119250,Joe Hisaishi,Japan
nm0392082,Tristan Holmes,\N,\N,director;writer;actor,tt1392016;tt1424774;tt11654554;tt26738835,,
nm0410570,Stanley Isaacs,\N,\N,producer;director;writer,tt4696704;tt4557646;tt2831378;tt21236128,,
nm0419330,Jazzmine,\N,\N,actress,tt0147302;tt0145153;tt0163196;tt0149119,,
nm0434879,Marco Khan,\N,\N,actor;stunts;producer,tt0383574;tt2994190;tt0443649;tt0371746,,
nm0445391,Tunde Kelani,1948,\N,director;producer;cinematographer,tt1775366;tt1592232;tt15150424;tt0846849,Tunde Kelani,Nigeria
nm0446018,Kirk E. Kelleykahn,\N,\N,actor;director;writer,tt6610032;tt14695626;tt2361317;tt3103412,,
nm0448123,John F. Kennedy,1917,1963,writer,tt0052511;tt0039123;tt0207800;tt0057780,,
nm0464053,Borislav Kolev,1965,\N,director;writer;producer,tt23049890;tt2403001;tt5140178;tt6798414,,
nm0481815,Chasey Lain,1971,\N,actress;director,tt0114608;tt0160591;tt0124718;tt0124819,,
nm0521995,Michael Loukinen,\N,\N,director;producer;cinematographer,tt19781856;tt26659808;tt26696489;tt26724045,,
nm0551718,William Martens,\N,\N,producer;visual_effects;director,tt4955642;tt14449470;tt2220057;tt1643266,,
nm0571711,David McKibben,\N,\N,writer;composer;production_manager,tt0070689;tt26689866,,
nm0573270,Don McMillan,\N,\N,actor;writer;producer,tt0112178;tt0262571;tt0389937;tt0105946,,
nm0595934,Mohan Babu,1952,\N,actor;producer;writer,tt0924317;tt10189514;tt1212129;tt1212136,,
nm0599114,Anthony Montes,\N,\N,actor;producer;writer,tt0098105;tt3188546;tt14456740;tt4004842,,
nm0608683,Nthati Moshesh,1969,\N,actress,tt4459386;tt0119463;tt14220586;tt0352113,,
nm0609182,Don Most,1953,\N,actor;producer;soundtrack,tt1327801;tt0070992;tt9640414;tt0483796,,
nm0629737,Taylor Nichols,1959,\N,actor;producer;director,tt0181984;tt8324422;tt0109219;tt0100142,,
nm0630362,Kaylan Nicole,1973,\N,actress,tt0124447;tt0114401;tt0127109;tt0134350,,
nm0654655,Kola Oyewo,\N,\N,actor,tt21192566;tt13729636;tt18474006;tt11328154,,
nm0655585,Jared Padalecki,1982,\N,actor;producer;soundtrack,tt0758746;tt0397065;tt0384286;tt0460681,,
nm0676671,Scott Peters,\N,\N,writer;producer;director,tt0112111;tt0103352;tt1307824;tt0389564,,
nm0693148,Dina Potocki,\N,\N,editor;editorial_department;sound_department,tt0423652;tt10663998;tt1673792;tt0083962,,
nm0706948,Misty Rain,1969,\N,actress;director;cinematographer,tt0877718;tt0111134;tt0207139;tt0124394,,
nm0707352,Rajani,1965,\N,actress,tt0308674;tt0779746;tt0361506;tt0140677,Rajani,India
nm0715672,Rosemarie Reed,\N,\N,director;producer;writer,tt10664532;tt10663998;tt10662370;tt10666128,,
nm0744802,Christopher Roth,\N,\N,editor;editorial_department;production_manager,tt0095444;tt6144876;tt0107387;tt11833710,,
nm0753768,Alicia Rio,1966,2022,actress;writer;producer,tt1577808;tt0149764;tt0105372;tt0145153,,
nm0767263,Caressa Savage,1966,\N,actress,tt0128575;tt1172595;tt0159950;tt0160093,,
nm0779440,Kente Scott,1977,\N,actor;writer;editor,tt0160862;tt27078639;tt0168786;tt0144528,,
nm0789059,Jennifer Sharp,\N,\N,editor;art_department;director,tt4225622;tt2405844;tt0829202;tt6765628,,
nm0796593,Enat Sidi,\N,\N,editor;editorial_department;writer,tt6905676;tt2125490;tt0486531;tt11388990,,
nm0816478,Radim Spacek,1973,\N,director;actor;writer,tt1359434;tt0140525;tt5994826;tt0117063,,
nm0853259,Tianna Taylor,1962,\N,actress,tt0131233;tt0145981;tt0099192;tt0149116,,
nm0888113,John Van Tongeren,\N,\N,composer;music_department;soundtrack,tt0120591;tt0111257;tt0112111;tt0120647,John Van Tongeren,United States of America
nm0928376,Rebecca Wild,1972,\N,actress;camera_department,tt0144516;tt0109186;tt0151760;tt0300111,,
nm0931354,Montel Williams,1956,\N,producer;actor;director,tt0044265;tt0147779;tt0112022;tt0120992,,
nm0943237,Robert Wuhl,1951,\N,actor;writer;producer,tt0094812;tt0093105;tt0115101;tt0096895,,
nm1000724,Francesco Di Giacomo,\N,\N,cinematographer;camera_department;actor,tt0120802;tt1562871;tt0362270;tt0141926,,
nm10097003,Joe Tabbanella,\N,\N,,\N,,
nm10110406,Jorge Colina,\N,\N,,tt19845076;tt0185065,,
nm10120698,Russell Clark,\N,\N,,tt3835096,,
nm10120701,Kevin Clegg,\N,\N,,\N,,
nm10169618,Shepsi Haider,\N,\N,actor,tt15352832;tt9000466;tt13222524;tt9080346,,
nm10169623,Whitney Marchelle Jackson,\N,\N,actress,tt9080346,,
