tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt2136334,tvEpisode,Episode dated 15 August 1971,Episode dated 15 August 1971,0,1971,\N,\N,Sport
tt3086950,movie,Oldmen Never Die,Jug-ji-anh-a,0,2013,\N,107,Drama
tt1179845,short,Est contro Ovest,Est contro Ovest,0,1915,\N,\N,Short
tt6135670,tvEpisode,Big Tits + Big Dick = Good Time!,Big Tits + Big Dick = Good Time!,1,2008,\N,\N,Adult
tt1226695,tvSeries,The Gaby Roslin Show,The Gaby Roslin Show,0,1996,1996,\N,Talk-Show
tt13623054,tvEpisode,Climate Change,Climate Change,0,2019,\N,\N,Comedy
tt5326212,tvEpisode,Italian Piñata,Italian Piñata,0,2016,\N,25,Comedy
tt13536726,tvEpisode,My Real Name,My Real Name,0,2020,\N,\N,Reality-TV
tt4263318,tvEpisode,Episode #1.56,Episode #1.56,0,2000,\N,44,Adventure;Family
tt24639968,tvEpisode,Vi tjener ingen penge,Vi tjener ingen penge,0,2022,\N,\N,Documentary
tt0837958,tvEpisode,Episode #1.1480,Episode #1.1480,0,1975,\N,\N,Drama;Romance
tt4398620,short,Sexwax,Sexwax,0,2015,\N,11,Adventure;Comedy;Drama
tt20563048,tvEpisode,Episode #1.102,Episode #1.102,0,2019,\N,\N,Drama
tt8349290,tvEpisode,Episode #1.177,Episode #1.177,0,1979,\N,\N,\N
tt11986330,tvMovie,Rock the Kop: The Hillsborough Justice Concert,Rock the Kop: The Hillsborough Justice Concert,0,1997,\N,\N,Music
tt0711323,tvEpisode,Elliot vs. McTavish,Elliot vs. McTavish,0,1988,\N,\N,Drama
tt14458352,tvEpisode,Super Bowls of Soup,Super Bowls of Soup,0,2017,\N,\N,Talk-Show
tt0131690,movie,"'Sagres' em Goa, Bombaim, Djibuti, Suez e Cairo","'Sagres' em Goa, Bombaim, Djibuti, Suez e Cairo",0,1980,\N,50,Documentary
tt1044488,tvEpisode,Episode dated 12 June 2007,Episode dated 12 June 2007,0,2007,\N,\N,News;Talk-Show
tt9134718,tvEpisode,"The Best Hunter, Tyrannosaurus","The Best Hunter, Tyrannosaurus",0,\N,\N,\N,\N
tt12932230,tvEpisode,Episode #1.715,Episode #1.715,0,\N,\N,\N,Drama
tt2352711,tvEpisode,Chip Switch,Chip Switch,0,2012,\N,22,Action;Comedy;Drama
tt0189561,video,Good Vibrations 2,Good Vibrations 2,1,1991,\N,\N,Adult
tt3022022,tvEpisode,Google+ Song,Google+ Song,0,2011,\N,\N,Music
tt5350994,tvEpisode,Episode #1.86,Episode #1.86,0,2016,\N,\N,Drama
tt11554438,tvEpisode,Episode dated 25 October 2008,Episode dated 25 October 2008,0,2008,\N,\N,Talk-Show
tt1267432,short,Paris Noir,Paris Noir,0,2008,\N,16,Drama;Romance;Short
tt7975618,tvEpisode,Episode #1.22,Episode #1.22,0,2018,\N,\N,Action;Comedy;Drama
tt9692230,tvMiniSeries,Norske røter,Norske røter,0,2012,2012,49,Documentary
tt11584716,tvEpisode,Episode #1.2313,Episode #1.2313,0,1984,\N,22,Drama;Romance
tt15377840,tvEpisode,Episode #1.1511,Episode #1.1511,0,\N,\N,\N,Comedy
tt1087279,tvEpisode,Episode #1.89,Episode #1.89,0,2005,\N,\N,Drama
tt11657712,tvEpisode,Episode #1.2,Episode #1.2,0,2018,\N,\N,Reality-TV
tt6160646,tvEpisode,Episode #3.27,Episode #3.27,0,\N,\N,\N,Game-Show
tt21396576,tvEpisode,Episode #1.287,Episode #1.287,0,\N,\N,\N,Action;Drama
tt23221598,short,Ways of Seeing,Ways of Seeing,0,1977,\N,24,Biography;Documentary;Short
tt1780908,videoGame,Mickey's Runaway Zoo,Mickey's Runaway Zoo,0,1991,\N,\N,Family
tt0123094,movie,A Report on a Murder,Gozaresh yek ghatl,0,1987,\N,87,Drama;Thriller
tt6914188,tvEpisode,Susana Baca,Susana Baca,0,2013,\N,\N,Documentary
tt21374408,tvEpisode,Consequences,Consequences,0,2021,\N,\N,Horror
tt13386974,tvEpisode,Episode dated 15 July 2006,Episode dated 15 July 2006,0,2006,\N,\N,Talk-Show
tt13214182,tvEpisode,Episode #16.116,Episode #16.116,0,\N,\N,60,Drama;Talk-Show
