tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,wiki_film,wiki_series,wiki_country,wiki_genres,wiki_producer_company,wiki_location
tt14752358,movie,When George Got Murdered,When George Got Murdered,0,2022,\N,\N,Drama,10.0,6.0,,,,,,
tt21236128,movie,We Are Art Through the Eyes of Annalaura,We Are Art Through the Eyes of Annalaura,0,2022,\N,69,Documentary,10.0,10.0,,,,,,
tt11870758,movie,Love Live! Series 9th Anniversary LOVE LIVE! FEST,Love Live! Series 9th Anniversary LOVE LIVE! FEST,0,2020,\N,\N,Music,10.0,6.0,,,,,,
tt26678993,movie,A Summertime Drug,A Summertime Drug,0,2022,\N,61,Comedy,10.0,5.0,,,,,,
tt23774026,movie,Victorian Queens,Victorian Queens,0,2022,\N,45,Documentary,10.0,8.0,,,,,,
tt26659808,movie,Finnish American Rag Rug Weavers,Finnish American Rag Rug Weavers,0,2019,\N,53,Documentary,10.0,5.0,,,,,,
tt19370518,movie,Decent Reflection,Decent Reflection,0,2023,\N,\N,\N,10.0,5.0,,,,,,
tt26627413,movie,The Puzzling Secret,The Puzzling Secret,0,2020,\N,170,Mystery,10.0,8.0,,,,,,
tt0160316,movie,Girls Loving Girls,Girls Loving Girls,1,1996,\N,60,Adult,10.0,14.0,,,,,,
tt3995596,movie,Efunsetan Aniwura,Efunsetan Aniwura,0,2005,\N,83,History,10.0,6.0,,,,,,
tt18372080,movie,The World Cruzer,The World Cruzer,0,2022,\N,105,Documentary,10.0,7.0,,,,,,
tt12670610,movie,The End of Blindness,The End of Blindness,0,2021,\N,55,Documentary,10.0,8.0,,,,,,
tt10925174,movie,Petersburgs tram,Petersburgs tram,0,2007,\N,74,Documentary;History,10.0,26.0,,,,,,
tt4428002,movie,I Chose Life: Stories of Suicide and Survival,I Chose Life: Stories of Suicide and Survival,0,2020,\N,100,Documentary,10.0,10.0,,,,,,
tt14626184,movie,Scrum,Scrum,0,2021,\N,79,Documentary,10.0,21.0,,,,,,
tt26453860,movie,Anecdotals,Anecdotals,0,2023,\N,83,Documentary,10.0,7.0,,,,,,
tt4551842,movie,Cheater Cheater Pussy Eater,Cheater Cheater Pussy Eater,1,2013,\N,\N,Adult,10.0,5.0,,,,,,
tt27078639,movie,QUARANTINED: COVID-19 Through an African American Lens,QUARANTINED: COVID-19 Through an African American Lens,0,2023,\N,81,Documentary,10.0,7.0,,,,,,
tt8215820,movie,Are We Making a Film? Behind the Scenes: Follow the Dead,Are We Making a Film? Behind the Scenes: Follow the Dead,0,2018,\N,67,Documentary,10.0,8.0,,,,,,
tt15569164,movie,Daughters of Donald,Daughters of Donald,0,2021,\N,138,Comedy,10.0,6.0,,,,,,
tt3338516,movie,Musica Maestros,Musica Maestros,0,2014,\N,73,Documentary;Family;Music,10.0,5.0,,,,,,
tt26235412,movie,Shubh Nikah,Shubh Nikah,0,2023,\N,\N,Drama;Family;Romance,10.0,1766.0,,,,,,
tt26689866,movie,Breaking the Dwarf Wall,Breaking the Dwarf Wall,0,2015,\N,117,Comedy,10.0,8.0,,,,,,
tt26696489,movie,Yooper Creoles: Finnish Music in Michigans Copper Country,Yooper Creoles: Finnish Music in Michigans Copper Country,0,2019,\N,57,Documentary,10.0,5.0,,,,,,
tt15108182,movie,Ashes to Ashes,Ashes to Ashes,0,2021,\N,49,Documentary,10.0,6.0,,,,,,
tt18339166,movie,Carraco,Carraco,0,2022,\N,65,Documentary,10.0,5.0,,,,,,
tt14562768,movie,Zapisivaci: Pad,Zapisivaci: Pad,0,2021,\N,77,Drama,10.0,6.0,,,,,,
tt20752234,movie,Pelkie: 100 Years of Finnishness in Michigans Upper Peninsula.,Pelkie: 100 Years of Finnishness in Michigans Upper Peninsula.,0,2019,\N,151,Documentary,10.0,13.0,,,,,,
tt27002836,movie,Mneme,Mneme,0,2023,\N,96,Documentary;History,10.0,5.0,,,,,,
tt1918943,movie,Max Ernst Hanging,Max Ernst Hanging,0,2009,\N,59,Documentary,10.0,7.0,,,,,,
tt9080346,movie,Poets Are the Destroyers,Poets Are the Destroyers,0,2021,\N,\N,Drama,10.0,5.0,,,,,,
tt26922029,movie,Jack Squad 2 the Next Generation,Jack Squad 2 the Next Generation,0,2023,\N,\N,Thriller,10.0,8.0,,,,,,
tt23828798,movie,Between Friends,Between Friends,0,2022,\N,54,Comedy;Drama,10.0,6.0,,,,,,
tt10663998,movie,Widow of the Revolution: The Anna Larina Story,Widow of the Revolution: The Anna Larina Story,0,2000,\N,\N,Documentary,10.0,25.0,,,,,,
tt21479810,movie,Project Pivot,Project Pivot,0,2022,\N,100,Documentary,10.0,12.0,,,,,,
tt26754650,movie,His popular tweet,His popular tweet,0,2023,\N,\N,Music,10.0,9.0,,,,,,
tt12745908,movie,City of Love,City of Love,0,2023,\N,\N,Comedy;Crime;Thriller,10.0,6.0,,,,,,
tt26745712,movie,The Importance of Strange Perceptions,The Importance of Strange Perceptions,0,2023,\N,56,Documentary,10.0,16.0,,,,,,
tt21345048,movie,Tahanan (Home),Tahanan (Home),0,2022,\N,62,Drama;Romance,10.0,22.0,,,,,,
